,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
0,4,0.2,20,0.2,2.660239413,2.1656785
1,22,0.2,20,0.2,2.659087582,2.1359072
2,4,0.3,32,0.6,2.632291619,2.550145
3,4,0.3,32,0.4,2.623576554,2.5723686
4,40,0.3,32,0.6,2.612770466,2.5221238
5,22,0.3,32,0.4,2.610688398,2.5614595
6,40,0.3,32,0.4,2.610661678,2.5542142
7,22,0.3,32,0.6,2.607765922,2.529369
8,4,0.7,32,0.4,2.563708314,2.4086282
9,4,0.2,32,0.4,2.523380434,2.5099316
10,40,0.2,32,0.4,2.520406491,2.4997053
11,22,0.2,32,0.4,2.52032953,2.5019658
12,4,0.6,32,0.4,2.46852261,2.3737326
13,40,0.4,32,0.4,2.455811029,2.408692
14,4,0.4,32,0.4,2.455446708,2.425942
15,4,0.5,32,0.4,2.446099457,2.4011245
16,4,0.4,32,0.6,2.437600182,2.4220338
17,4,0.3,26,0.4,2.385480569,2.3293145
18,22,0.4,32,0.4,2.384003115,2.4060607
19,4,0.5,32,0.6,2.378526197,2.3357136
20,22,0.4,32,0.6,2.378253443,2.4059129
21,40,0.4,32,0.6,2.377925653,2.4083078
22,4,0.7,32,0.6,2.374225061,2.3023891
23,4,0.6,32,0.2,2.333969482,2.2008145
24,4,0.7,26,0.4,2.329122418,2.261685
25,4,0.5,32,0.2,2.327973548,2.206008
26,4,0.2,32,0.6,2.318768007,2.3207204
27,4,0.4,26,0.4,2.316858211,2.2715015
28,22,0.2,32,0.6,2.314267375,2.3204997
29,40,0.2,32,0.6,2.314235005,2.3281164
30,4,0.3,32,0.8,2.311245504,2.2537527
31,40,0.3,26,0.4,2.297591167,2.3138366
32,22,0.3,26,0.4,2.297548756,2.3176064
33,4,0.5,26,0.4,2.291654142,2.234105
34,4,0.3,26,0.6,2.29001685,2.2600315
35,22,0.3,32,0.8,2.285197088,2.2423503
36,40,0.3,32,0.8,2.285090949,2.2430737
37,22,0.3,26,0.6,2.275664858,2.269219
38,40,0.3,26,0.6,2.275629101,2.283268
39,40,0.4,26,0.4,2.275593144,2.2485578
40,22,0.4,26,0.4,2.275545896,2.252328
41,4,0.4,26,0.6,2.27355415,2.2130368
42,4,0.6,32,0.6,2.268208615,2.279806
43,4,0.3,32,0.2,2.255111598,2.1370404
44,4,0.6,26,0.4,2.246130178,2.2266223
45,4,0.7,32,0.2,2.235102333,2.1657097
46,22,0.3,32,0.2,2.23327394,2.1208167
47,40,0.3,32,0.2,2.233255502,2.1260495
48,22,0.4,26,0.6,2.22779697,2.1925526
49,40,0.4,26,0.6,2.227695197,2.1983821
50,4,0.5,26,0.2,2.226546185,2.1136053
